,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
53,David Montgomery,DET,RB,65.57,53.20,170.00,63.84,68.85,72.30,68.10,64.90,9.68,,,
54,Isiah Pacheco,KC,RB,73.17,54.50,170.00,65.66,72.65,73.90,90.90,66.30,7.91,,,
T55,DeVonta Smith,PHI,WR,50.34,55.80,170.00,59.07,56.58,66.20,52.70,51.80,8.66,,,
T55,Travis Kelce,KC,TE,84.01,55.80,170.00,66.47,85.58,65.40,103.70,97.30,9.38,,,
57,Xavier Worthy,KC,WR,47.14,57.40,170.00,58.30,47.83,69.80,61.40,47.30,5.81,,Ques,Illness
58,T.J. Hockenson,MIN,TE,77.08,58.70,170.00,72.24,83.23,67.60,82.10,67.20,6.97,,Ques,Shoulder
59,Zay Flowers,BAL,WR,55.85,59.60,170.00,60.25,58.46,76.70,55.90,55.10,4.90,,,
60,Tetairoa McMillan,CAR,WR,46.08,60.80,170.00,26.66,47.05,58.90,41.10,36.60,15.53,,,
61,George Pickens,DAL,WR,63.83,61.40,170.00,66.33,56.95,74.30,51.20,62.70,6.56,,,
62,RJ Harvey,DEN,RB,62.31,62.20,170.00,27.67,69.80,64.10,55.40,46.50,12.56,,,
63,Rashee Rice,KC,WR,91.52,62.50,170.00,74.79,56.82,62.30,40.10,45.50,5.43,,Ques,Concussion
64,Baker Mayfield,TB,QB,80.29,64.10,170.00,43.86,76.48,29.00,83.90,90.20,9.61,,,
65,Jameson Williams,DET,WR,52.88,65.50,170.00,63.50,52.72,75.90,69.30,60.40,6.08,,,
66,D'Andre Swift,CHI,RB,73.71,66.10,170.00,60.71,65.08,79.10,76.20,76.90,9.92,,,
67,Aaron Jones,MIN,RB,68.10,67.50,170.00,59.22,74.89,87.10,142.90,96.40,11.91,,Ques,Hip
68,Tony Pollard,TEN,RB,72.41,68.40,170.00,66.87,70.80,81.20,122.60,87.00,9.38,,,
69,Travis Hunter,JAX,WR,62.28,69.70,170.00,31.28,72.21,71.20,6.70,39.50,13.75,,Ques,Knee
70,Jaylen Waddle,MIA,WR,60.50,69.80,170.00,78.14,62.58,83.70,74.20,73.20,8.19,,Ques,Ribs
71,Calvin Ridley,TEN,WR,63.51,71.80,170.00,71.60,58.37,88.50,157.60,107.70,8.67,,Ques,Lower Leg
72,Bo Nix,DEN,QB,81.34,72.80,170.00,47.84,82.00,30.70,95.30,59.40,7.90,,Ques,Ankle
73,Mark Andrews,BAL,TE,92.02,73.00,170.00,72.54,96.34,83.20,104.60,90.80,6.40,,,
74,Jerry Jeudy,CLE,WR,71.27,74.40,170.00,72.14,64.05,89.00,111.10,80.90,7.37,,,
75,Evan Engram,DEN,TE,100.45,75.80,170.00,87.92,101.34,92.30,197.80,132.30,5.55,,,
76,Kaleb Johnson,PIT,RB,103.24,76.20,170.00,38.95,79.15,85.00,90.30,57.60,11.65,,,
77,Chris Olave,NO,WR,70.51,76.90,170.00,74.68,73.34,90.60,65.40,71.20,5.45,,Ques,Illness
78,Deebo Samuel,WAS,WR,76.69,78.30,170.00,86.38,79.62,100.70,114.90,104.20,7.20,,,
79,Rome Odunze,CHI,WR,65.86,79.90,170.00,76.50,66.89,86.50,48.90,48.50,4.63,,,
80,David Njoku,CLE,TE,104.57,80.90,170.00,79.91,107.66,96.40,155.00,113.00,5.29,,Ques,Knee
81,Tyler Warren,IND,TE,100.41,81.20,170.00,40.58,101.67,80.30,46.50,54.30,8.06,,,
82,Emeka Egbuka,TB,WR,90.04,82.80,170.00,40.21,74.85,97.40,47.70,50.60,11.79,,,
83,Cooper Kupp,SEA,WR,91.60,83.20,170.00,95.87,95.02,111.00,158.00,118.90,7.77,,,
84,Tyrone Tracy,NYG,RB,87.99,83.30,170.00,76.69,85.24,101.30,136.10,82.10,4.64,,,
85,Matthew Golden,GB,WR,95.22,85.40,170.00,44.92,89.72,97.90,93.10,65.90,9.91,,,
86,Stefon Diggs,NE,WR,85.29,86.10,170.00,90.27,84.57,108.80,149.30,128.50,8.64,,,
87,Jakobi Meyers,JAX,WR,77.43,87.10,170.00,91.35,77.08,104.90,139.10,118.80,5.67,,,
88,Quinshon Judkins,CLE,RB,158.04,88.70,170.00,46.26,118.36,90.50,54.70,48.50,10.40,,Ques,Ankle
89,Jared Goff,DET,QB,105.74,89.80,170.00,60.52,103.91,52.50,99.60,125.70,7.91,,,
90,Travis Etienne,JAX,RB,97.19,90.10,170.00,83.92,96.32,99.40,69.40,83.20,6.92,,,
91,Joe Mixon,HOU,RB,193.47,90.70,170.00,98.32,107.84,94.00,97.20,81.50,9.41,,Ques,Foot
92,Ricky Pearsall,SF,WR,100.02,92.30,170.00,87.75,72.64,93.70,102.80,83.40,4.48,,,
93,Kyler Murray,ARI,QB,92.81,93.40,170.00,54.77,102.62,43.10,96.20,114.40,9.29,,Ques,Foot
94,Jaylen Warren,PIT,RB,89.11,94.60,170.00,81.83,91.49,104.70,109.70,110.80,5.65,,,
95,Jordan Addison,MIN,WR,88.62,95.90,170.00,97.69,80.95,103.20,75.10,69.10,3.27,,,
96,Brian Robinson,SF,RB,151.36,97.00,170.00,113.07,104.46,107.50,132.60,88.20,5.29,,,
97,Khalil Shakir,BUF,WR,111.19,97.10,170.00,108.61,90.06,116.10,125.90,101.50,4.30,,,
98,Brandon Aubrey,DAL,K,150.92,99.50,170.00,109.26,-,158.20,130.70,173.80,2.65,,,
99,Cam Skattebo,NYG,RB,106.74,100.50,170.00,54.95,117.39,114.50,62.70,75.80,6.35,,Ques,Ankle
100,Colston Loveland,CHI,TE,124.77,101.50,170.00,47.71,137.63,109.20,89.90,69.20,6.47,,Ques,Concussion
101,J.K. Dobbins,DEN,RB,113.98,102.80,170.00,89.78,103.93,123.00,135.50,129.60,6.16,,Ques,Foot
102,Jordan Mason,MIN,RB,99.95,103.70,170.00,103.75,97.86,118.90,141.90,117.10,6.18,,,
103,Zach Charbonnet,SEA,RB,105.68,104.40,170.00,100.93,97.05,115.60,129.20,93.40,3.50,,Ques,Knee - ACL
104,Justin Herbert,LAC,QB,110.71,104.60,170.00,76.80,119.91,41.00,164.60,76.20,8.68,,,
105,Brock Purdy,SF,QB,99.19,107.30,170.00,67.26,109.23,48.10,101.70,120.10,7.34,,,
106,Kyle Pitts,ATL,TE,143.87,108.10,170.00,114.44,146.12,122.70,118.70,97.80,5.49,,,
107,Dak Prescott,DAL,QB,110.19,110.90,170.00,64.35,92.03,57.40,118.80,139.80,9.31,,,
108,Javonte Williams,DAL,RB,114.93,111.20,170.00,99.53,108.50,124.60,81.00,122.70,6.75,,Ques,Shoulder
109,Chris Godwin,TB,WR,119.77,111.90,170.00,108.01,92.74,117.60,150.80,116.20,6.80,,,
110,Jauan Jennings,SF,WR,103.08,113.70,170.00,99.68,85.38,120.00,159.50,135.90,6.25,,,
111,Tucker Kraft,GB,TE,117.93,114.60,170.00,100.10,118.62,113.70,86.00,94.60,3.78,,Ques,Knee - ACL
112,Dalton Kincaid,BUF,TE,129.21,115.30,170.00,115.72,138.72,118.30,88.20,86.20,2.86,,Ques,Knee - PCL
113,Michael Pittman,IND,WR,102.28,116.80,170.00,102.47,102.28,125.50,120.30,124.70,5.30,,,
114,Nick Chubb,HOU,RB,170.41,117.00,170.00,115.05,159.11,137.00,230.10,160.90,5.43,,,
115,Jake Bates,DET,K,148.44,118.10,170.00,124.40,-,160.30,160.10,180.20,1.62,,,
116,Keon Coleman,BUF,WR,117.51,118.30,170.00,115.00,108.67,130.20,146.20,102.00,2.53,,,
117,C.J. Stroud,HOU,QB,122.21,120.90,170.00,78.74,132.16,59.00,194.20,78.10,5.24,,,
118,Austin Ekeler,WAS,RB,149.39,121.10,170.00,104.93,146.62,132.60,345.00,157.60,5.48,,Ques,Achilles
119,Jayden Reed,GB,WR,130.71,123.90,170.00,117.55,106.35,127.80,177.30,100.50,2.64,,,
120,Josh Downs,IND,WR,120.35,124.20,170.00,123.20,98.33,128.50,156.50,109.90,2.44,,,
121,Cameron Dicker,LAC,K,173.48,125.10,170.00,121.03,-,163.50,153.10,178.80,1.81,,,
122,Jayden Higgins,HOU,WR,123.28,125.60,170.00,54.26,131.79,131.20,137.00,92.90,7.42,,,
123,Jake Ferguson,DAL,TE,137.06,127.30,170.00,124.09,139.86,129.40,100.80,132.00,3.03,,,
124,Drake Maye,NE,QB,113.81,128.90,170.00,81.48,118.87,61.70,85.60,89.30,5.26,,,
125,Rashid Shaheed,SEA,WR,119.48,129.80,170.00,129.22,128.62,138.80,208.40,146.70,2.93,,,
126,Chris Boswell,PIT,K,192.00,131.10,170.00,144.60,-,167.10,162.90,213.50,1.19,,,
127,Jacory Croskey-Merritt,WAS,RB,92.62,135.60,170.00,74.51,159.57,143.10,173.50,176.40,5.53,,,
128,Rhamondre Stevenson,NE,RB,113.81,136.00,170.00,107.46,125.04,135.50,160.00,130.60,4.75,,,
129,Tank Bigsby,PHI,RB,130.05,137.80,170.00,122.26,132.89,139.20,233.40,127.90,3.42,,,
130,Jonnu Smith,PIT,TE,163.27,138.20,170.00,146.27,163.37,142.50,198.50,139.70,3.19,,,
131,Jordan Love,GB,QB,130.94,139.20,170.00,89.56,129.50,69.60,67.70,106.80,6.41,,,
132,Dallas Goedert,PHI,TE,144.78,139.80,170.00,122.05,156.43,132.70,181.60,162.00,3.50,,,
