,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
T619,Nick Cross,IND,S,-,-,170.00,-,-,-,111.10,-,,,,
T619,Dane Cruikshank,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Kamren Curl,LAR,S,-,-,170.00,-,-,-,258.60,-,,,,
T619,Tae Daley,FA,S,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T619,Ashtyn Davis,MIA,S,-,-,170.00,-,-,-,414.30,-,,,,
T619,Cody Davis,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Shawn Davis,FA,S,-,-,-,-,-,-,-,-,,,Ques,Abdomen
T619,Dee Delaney,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Grant Delpit,CLE,S,-,-,170.00,-,-,-,293.60,-,,,,
T619,Ben DeLuca,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Trevor Denbow,FA,S,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,Quandre Diggs,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Kyle Dugger,PIT,S,-,-,170.00,-,-,-,306.40,-,,,,
T619,Step Durham,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Christopher Edmonds,CLE,S,-,-,170.00,-,-,-,-,-,,,,
T619,Terrell Edmunds,LV,S,-,-,170.00,-,-,-,-,-,,,,
T619,Mike Edwards,KC,S,-,-,170.00,-,-,-,-,-,,,,
T619,DeShon Elliott,PIT,S,-,-,170.00,-,-,-,370.90,-,3.12,,Ques,Knee
T619,Jalen Elliott,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Keaton Ellis,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Nick Emmanwori,SEA,S,-,-,170.00,50.33,-,-,260.40,-,,,,
T619,Marcus Epps,PHI,S,-,-,170.00,-,-,-,-,-,,,,
T619,Justin Evans,FA,S,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,Matthias Farley,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,AJ Finley,SEA,S,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,Minkah Fitzpatrick,MIA,S,-,-,170.00,-,-,-,267.50,-,,,Ques,Calf
T619,Tra Fluellen,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Rudy Ford,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Darrick Forrest,SF,S,-,-,170.00,-,-,-,-,-,,,,
T619,Sam Franklin,BUF,S,-,-,170.00,-,-,-,-,-,,,,
T619,Jordan Fuller,FA,S,-,-,170.00,-,-,-,-,-,1.15,,,
T619,Innis Gaines,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,C.J. Gardner-Johnson,CHI,S,-,-,-,-,-,-,327.90,-,,,,
T619,Marcus Gilchrist,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Alohi Gilman,BAL,S,-,-,170.00,-,-,-,691.00,-,,,,
T619,Tashaun Gipson,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,Malik Golden,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Richie Grant,FA,S,-,-,170.00,-,-,-,-,-,,,,
T619,J.T. Gray,TB,S,-,-,170.00,-,-,-,-,-,,,,
T619,T.J. Green,FA,S,-,-,-,-,-,-,-,-,,,,
T619,Kahlef Hailassie,MIN,S,-,-,170.00,-,-,-,-,-,,,,
T619,Erick Hallett,TEN,S,-,-,170.00,-,-,-,-,-,,,,
T619,Stephen Anderson,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Davis Allen,LAR,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Owen Wright,TB,RB,-,-,170.00,-,241.19,-,-,-,,,,
T619,Marcus Yarns,FA,RB,-,-,-,-,241.10,-,-,394.00,,,,
T619,T.J. Yeldon,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Stanley Williams,FA,RB,-,-,-,-,-,385.00,-,-,,,,
T619,TaMerik Williams,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Trayveon Williams,CLE,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Ty'Son Williams,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Emanuel Wilson,GB,RB,337.51,-,170.00,203.46,260.15,-,578.80,372.00,1.26,,,
T619,Jeff Wilson,FA,RB,-,-,170.00,-,242.01,-,-,460.00,,,,
T619,Shaun Wilson,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Jacardia Wright,SEA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Devin Asiasi,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Antony Auclair,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Josh Babicz,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Stephen Baggett,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,AJ Barner,SEA,TE,338.54,-,170.00,190.56,262.37,291.80,351.30,335.20,1.17,,,
T619,Brandon Barnes,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Gavin Bartholomew,MIN,TE,-,-,170.00,-,-,-,-,-,,,Ques,Back
T619,Brenden Bates,CLE,TE,-,-,170.00,-,-,-,-,-,,,,
T619,John Bates,WAS,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Marcus Baugh,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Evan Baylis,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Chris Bazile,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Ryan Becker,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Ben Beise,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Drew Belcher,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Blake Bell,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Jaheim Bell,PHI,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Daniel Bellinger,NYG,TE,340.22,-,170.00,-,241.09,-,-,-,,,,
T619,Luke Benson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Shaun Beyer,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jahleel Billingsley,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Kendall Blanton,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Pooka Williams,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Joe Williams,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Jonathan Williams,FA,RB,-,-,170.00,-,-,649.00,-,-,,,Ques,Concussion
T619,Josh Williams,TB,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Michael Wiley,TB,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Jordan Wilkins,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Antonio Williams,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Damien Williams,FA,RB,-,-,170.00,-,-,-,-,-,,,Ques,Foot
T619,Darrel Williams,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Dexter Williams,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,DeAndre Washington,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Dwayne Washington,FA,RB,-,-,170.00,-,-,-,-,-,,,Ques,Illness
T619,Jordan Waters,LAR,RB,-,-,-,-,-,-,-,-,,,,
T619,Blake Watson,TEN,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Mike Weber,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Devwah Whaley,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Ian Wheeler,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Jalen White,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Calvin Tyler,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Zamir White,LV,RB,338.93,-,170.00,-,248.27,-,683.50,356.30,,,,
T619,ZaQuandre White,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Austin Walter,FA,RB,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T619,Mark Walton,FA,RB,-,-,-,-,-,318.00,-,-,,,,
T619,Jonathan Ward,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T619,Aca'Cedric Ware,FA,RB,-,-,-,-,-,362.00,-,-,,,,
T619,Spencer Ware,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Chris Warren,FA,RB,-,-,-,-,-,-,-,-,,,,
T619,Michael Jacobson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jesse James,FA,TE,-,-,-,-,-,359.00,-,-,,,,
T619,Blake Jarwin,FA,TE,-,-,-,-,-,396.00,-,-,,,,
T619,E.J. Jenkins,PHI,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Colin Jeter,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Rysen John,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Juwan Johnson,NO,TE,257.67,-,170.00,190.54,237.79,247.80,359.60,317.20,1.52,,,
T619,Neal Johnson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Theo Johnson,NYG,TE,271.37,-,170.00,192.25,242.39,242.40,365.50,243.50,,,Ques,Illness
T619,Cole Hunt,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Hayden Hurst,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Qadir Ismail,CHI,TE,-,-,-,-,-,-,-,-,,,,
T619,Ryan Izzo,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Kalif Jackson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Xavier Grimble,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Curtis Hodges,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Josh Hokit,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Dallin Holker,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Alec Holler,FA,TE,-,-,-,-,-,377.30,-,-,,,,
T619,Jacob Hollister,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,J.P. Holtz,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Joel Honigford,FA,TE,-,-,-,-,-,666.00,-,-,,,,
T619,Austin Hooper,NE,TE,339.82,-,170.00,-,260.75,-,529.00,-,,,,
T619,Brycen Hopkins,FA,TE,-,-,170.00,-,-,344.00,-,-,,,,
T619,Tyler Hoppes,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jesper Horsted,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Zach Horton,DET,TE,-,-,-,-,-,-,-,-,,,,
T619,Parker Houston,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Bug Howard,FA,TE,-,-,-,-,-,469.00,-,-,,,,
T619,O.J. Howard,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,J.J. Howland,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Garrett Hudson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Tanner Hudson,CIN,TE,340.25,-,170.00,-,241.10,-,592.00,-,,,,
T619,Hunter Kampmoyer,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Bronson Kaufusi,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Dalton Keene,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Ryan Jones,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Brevin Jordan,HOU,TE,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,Nikola Kalinic,CHI,TE,-,-,170.00,-,-,486.00,-,-,,,,
T619,Stevo Klotz,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Cole Kmet,CHI,TE,262.07,-,170.00,158.87,241.89,248.70,559.50,229.60,1.82,,,
T619,Dawson Knox,BUF,TE,338.85,-,170.00,-,262.33,-,512.00,391.30,,,,
T619,Trey Knox,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T619,Charlie Kolar,BAL,TE,-,-,170.00,-,241.24,-,-,-,,,,
T619,Travis Koontz,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Davis Koppenhaver,FA,TE,-,-,-,-,-,391.70,-,-,,,,
T619,Tyler Kroft,FA,TE,-,-,170.00,-,-,617.70,-,-,,,,
T619,Erik Krommenhoek,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Lucas Krull,DEN,TE,-,-,170.00,-,241.17,-,-,-,,,Ques,Foot
T619,Zack Kuntz,MIA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Bruno Labelle,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T619,Luke Lachey,HOU,TE,-,-,170.00,-,241.09,-,-,467.00,,,,
T619,Matt LaCosse,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Anthony Landphere,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Marshall Lang,NE,TE,-,-,-,-,-,337.00,-,-,,,,
T619,Cody Latimer,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Cameron Latu,PHI,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Keleki Latu,BUF,TE,-,-,-,-,-,-,-,-,,,,
T619,Jordan Leggett,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Matthew Lengel,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Brayden Lenius,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Dylan Leonard,FA,TE,-,-,-,-,-,316.00,-,-,,,,
T619,Dylan Parham,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Colby Parkinson,LAR,TE,340.18,-,170.00,-,241.71,-,508.00,-,,,,
T619,Aaron Peck,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Josh Pederson,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Joshua Perkins,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,La'Michael Pettway,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Lachlan Pitts,FA,TE,-,-,-,-,-,685.00,-,-,,,,
T619,Sam Pitz,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Mason Pline,NO,TE,-,-,-,-,-,-,-,-,,,Ques,Upper Body
T619,Tony Poljan,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jake Powell,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Josiah Price,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Caden Prieskorn,CLE,TE,-,-,-,-,-,-,-,-,,,,
T619,MyCole Pruitt,FA,TE,-,-,170.00,-,-,519.00,-,-,,,,
T619,Teagan Quitoriano,ATL,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Kevin Rader,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Isaac Nauta,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T619,Bryson Nesbit,MIN,TE,-,-,-,-,-,-,-,-,,,,
T619,Tyler Neville,FA,TE,-,-,-,-,-,415.00,-,-,,,,
T619,James O'Shaughnessy,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Phazahn Odom,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Thomas Odukoya,FA,TE,-,-,170.00,-,-,-,-,-,,,Out,Undisclosed
T619,Drew Ogletree,IND,TE,-,-,170.00,-,-,-,-,-,,,Ques,Neck
T619,Albert Okwuegbunam,LV,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Josh Oliver,MIN,TE,340.18,-,170.00,-,244.08,-,-,-,,,Ques,Ankle
T619,Scott Orndoff,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Blake Mack,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Devin Mahina,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Will Mallory,IND,TE,-,-,170.00,-,-,-,-,-,,,Ques,Chest
T619,Maximilian Mang,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Troy Mangen,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Chris Manhertz,NYG,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Kyle Markway,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,David Martin-Robinson,TEN,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Ben Mason,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Moliki Matavao,NO,TE,-,-,170.00,-,-,-,-,440.70,,,,
T619,Jordan Matthews,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Michael Mayer,LV,TE,332.70,-,170.00,-,268.11,303.30,-,307.50,,,,
T619,Tyree Mayfield,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Caleb Lohner,DEN,TE,-,-,170.00,-,-,-,-,464.00,,,,
T619,Hunter Long,JAX,TE,-,-,170.00,-,241.12,-,-,-,,,,
T619,James Looney,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Taylor McNamara,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Carson Meier,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Michael Miller,FA,TE,-,-,-,-,-,371.00,-,-,,,,
T619,James Mitchell,CAR,TE,-,-,170.00,-,-,-,-,-,,,,
T619,John Mitchell,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Zaire Mitchell-Paden,NO,TE,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,Foster Moreau,NO,TE,-,-,170.00,-,242.27,-,-,-,,,Ques,Ankle
T619,Quintin Morris,JAX,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Thaddeus Moss,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Johnny Mundt,JAX,TE,-,-,170.00,-,242.96,-,-,-,,,,
T619,Jordan Murray,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Patrick Murtagh,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Nick Muse,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Luke Musgrave,GB,TE,337.02,-,170.00,-,259.74,-,551.20,311.70,,,,
T619,Marcus Lucas,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Johnny Lumpkin,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Artayvious Lynn,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Tyler Mabry,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Camren McDonald,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Codey McElroy,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Foot
T619,M.J. McFarland,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jake McGee,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Sean McKeon,IND,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Tre' McKitty,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Tyrone Swoopes,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Tim Tebow,FA,TE,-,-,-,-,-,563.40,568.00,366.00,,,,
T619,Charlie Taumoepeau,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Kent Taylor,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Kole Taylor,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Leonard Taylor,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T619,Ian Thomas,LV,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Jordan Thomas,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Logan Thomas,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,DJ Thomas-Jones,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Colin Thompson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Noah Togiai,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Levine Toilolo,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Achilles
T619,Jake Tonges,SF,TE,-,-,170.00,-,240.86,418.90,598.70,-,,,Ques,Foot
T619,Robert Tonyan,KC,TE,-,-,170.00,-,241.35,-,-,-,,,,
T619,Anthony Torres,FA,TE,-,-,-,-,-,393.00,-,-,,,Ques,Ankle
T619,Keith Towbridge,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Eric Wallace,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Clive Walford,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Adam Trautman,DEN,TE,-,-,170.00,-,-,-,516.00,-,,,,
T619,Ross Travis,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Tommy Tremble,CAR,TE,339.50,-,170.00,-,242.38,-,513.00,-,0.72,,,
T619,Nick Truesdell,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Cole Turner,MIA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,C.J. Uzomah,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Abdomen
T619,Mitch Van Vooren,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jason Vander Laan,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Nick Vannett,LAR,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Mark Vital,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Brian Vogler,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Travis Vokolek,ARI,TE,-,-,170.00,-,-,-,-,-,,,Ques,Neck
T619,Clayton Wilson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Joel Wilson,TEN,TE,-,-,-,-,-,-,-,-,,,,
T619,Travis Wilson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Shane Wimann,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Charlie Woerner,ATL,TE,-,-,170.00,-,241.14,-,-,-,,,,
T619,Eli Wolf,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Ethan Wolf,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Trevor Wood,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Dom Wood-Anderson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jelani Woods,NYJ,TE,-,-,170.00,-,241.27,-,-,-,,,Ques,Hamstring
T619,Brock Wright,DET,TE,-,-,170.00,-,241.26,-,625.00,398.00,,,Ques,Neck
T619,Steven Wroblewski,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jalen Wydermyer,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Colson Yankoff,WAS,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Kahale Warring,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Darnell Washington,PIT,TE,340.33,-,170.00,-,241.65,-,601.70,-,,,Ques,Forearm
T619,Jerome Washington,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Scotty Washington,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Tre Watson,KC,TE,-,-,-,-,-,-,-,-,,,,
T619,Matt Weiser,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Treyton Welch,NO,TE,-,-,170.00,-,-,-,-,-,,,,
T619,David Wells,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Pro Wells,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Trevon Wesco,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Blake Whiteheart,CLE,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Josh Whyle,GB,TE,-,-,170.00,-,241.08,-,-,-,,,,
T619,Nate Wieting,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Mitchell Wilcox,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Jared Wiley,KC,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Bryce Williams,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Carson Williams,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Maxx Williams,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Rodney Williams,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Logan Stokes,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jack Stoll,NO,TE,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T619,Cade Stover,HOU,TE,340.29,-,170.00,-,243.89,-,-,355.30,,,Ques,Knee
T619,Stephen Sullivan,FA,TE,-,-,170.00,-,-,620.00,-,-,,,Out,Knee
T619,Sage Surratt,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Ankle
T619,Cam Sutton,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Geoff Swaim,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Concussion
T619,Kaden Smith,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Ryan Smith,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Durham Smythe,CHI,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Matt Sokol,FA,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Brevyn Spann-Ford,DAL,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Harold Spears,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Geor'quarius Spivey,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jeremy Sprinkle,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Achilles
T619,Dylan Stapleton,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,John Stephens,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Undisclosed
T619,Moral Stephens,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jace Sternberger,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Steven Stilianos,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Luke Stocker,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Irv Smith,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Bryce Pierre,CAR,TE,-,-,-,-,-,-,-,-,,,,
T619,Jared Pinkney,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T619,Ben Sinnott,WAS,TE,333.99,-,170.00,-,265.82,273.00,695.30,234.80,,,,
T619,Taylor Sloat,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Stone Smartt,NYJ,TE,-,-,170.00,-,-,-,-,-,,,,
T619,Dax Raymond,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Mark Redman,LAR,TE,-,-,-,-,-,-,-,-,,,,
T619,Jason Reese,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,David Reeves,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Tip Reiman,ARI,TE,-,-,170.00,-,-,-,-,-,,,Ques,Ankle
T619,Caleb Repp,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Isaac Rex,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Sammis Reyes,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Dalton Schultz,HOU,TE,220.43,-,170.00,175.58,234.32,220.80,374.90,267.30,2.32,,Ques,Calf
T619,Christian Scotland-Williamson,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Gee Scott,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Jared Scott,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Ricky Seals-Jones,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Foot
T619,Isaiah Searight,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Lincoln Sefcik,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Bernhard Seikovits,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Tim Semisch,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Cam Serigne,FA,TE,-,-,-,-,-,333.00,-,-,,,,
T619,Matt Seybert,FA,TE,-,-,-,-,-,-,-,-,,,,
T619,Adam Shaheen,FA,TE,-,-,-,-,-,-,-,-,,,,
